id,russian,type,gender,aspect,english,archived
1,и,conj,,,and,FALSE
2,в,prep,,,in; into,FALSE
3,не,part,,,not,FALSE
4,он,pron,,,he,FALSE
5,на,prep,,,on; at; to,FALSE
6,я,pron,,,I,FALSE
7,что,conj,,,that; what,FALSE
8,тот,pron,,,that,FALSE
9,быть,verb,,imp,to be,FALSE
10,с,prep,,,with; from,FALSE
11,а,conj,,,but; and,FALSE
12,весь,adj,,,all; entire,FALSE
13,э́то,pron,,,this,FALSE
14,как,adv,,,how; as,FALSE
15,она́,pron,,,she,FALSE
16,по,prep,,,along; by; at,FALSE
17,но,conj,,,but,FALSE
18,они́,pron,,,they,FALSE
19,к,prep,,,to; towards,FALSE
20,у,prep,,,at; by (possesion),FALSE
21,из,prep,,,from; out of,FALSE
22,мы,pron,,,we,FALSE
23,за,prep,,,behind; beyond; for,FALSE
24,ты,pron,,,you (sing. informal),FALSE
25,вы,pron,,,you (pl. formal),FALSE
26,так,adv,,,so; thus,FALSE
27,же,part,,,also; indeed,FALSE
28,сказа́ть,verb,,perf,to say,FALSE
29,от,prep,,,from; away from,FALSE
30,э́тот,adj,,,this; that (adj),FALSE
31,кото́рый,pron,,,which; who,FALSE
32,мочь,verb,,imp,to be able to; can,FALSE
33,о,prep,,,about; of,FALSE
34,челове́к,noun,masc,,person; man,FALSE
35,оди́н,num,,,one,FALSE
36,ещё,adv,,,still; yet; more,FALSE
37,бы,part,,,would (particle),FALSE
38,тако́й,adj,,,such; that kind of,FALSE
39,то́лько,part,,,only; just,FALSE
40,себя́,pron,,,oneself,FALSE
41,своё,pron,,,one's own,FALSE
42,како́й,adj,,,what kind of; which,FALSE
43,для,prep,,,for,FALSE
44,уже́,adv,,,already,FALSE
45,когда́,adv,,,when,FALSE
46,кто,pron,,,who,FALSE
47,вот,part,,,here,FALSE
48,да,part,,,yes,FALSE
49,год,noun,masc,,year,FALSE
50,знать,verb,,imp,to know,FALSE
51,е́сли,conj,,,if,FALSE
52,до,prep,,,until; before; up to,FALSE
53,говори́ть,verb,,imp,to speak; to talk,FALSE
54,и́ли,conj,,,or,FALSE
55,мой,adj,,,my,FALSE
56,вре́мя,noun,neut,,time,FALSE
57,рука́,noun,fem,,hand; arm,FALSE
58,са́мый,adj,,,the most; the very,FALSE
59,нет,part,,,no; not,FALSE
60,ни,part,,,neither; not even,FALSE
61,стать,verb,,perf,to become,FALSE
62,большо́й,adj,,,big; large,FALSE
63,наш,adj,,,our,FALSE
64,да́же,part,,,even,FALSE
65,друго́й,adj,,,other; another; different,FALSE
66,свой,adj,,,one's own,FALSE
67,де́ло,noun,neut,,matter; affair; thing,FALSE
68,под,prep,,,under; below,FALSE
69,где,adv,,,where,FALSE
70,что́бы,conj,,,in order that; so that,FALSE
71,ну,part,,,well; come on,FALSE
72,сам,pron,,,oneself; himself,FALSE
73,есть,verb,,imp,to eat; to be (there is),FALSE
74,раз,noun,masc,,time; occasion,FALSE
75,два,num,,,two,FALSE
76,чем,conj,,,than,FALSE
77,там,adv,,,there,FALSE
78,глаз,noun,masc,,eye,FALSE
79,пе́рвый,adj,,,first,FALSE
80,день,noun,masc,,day,FALSE
81,жизнь,noun,fem,,life,FALSE
82,во,prep,,,in; into (variant of в),FALSE
83,тут,adv,,,here,FALSE
84,ничто́,pron,,,nothing,FALSE
85,пото́м,adv,,,afterwards; then,FALSE
86,со,prep,,,with (variant of с),FALSE
87,о́чень,adv,,,very,FALSE
88,ли,part,,,whether,FALSE
89,при,prep,,,under; at; near,FALSE
90,хоте́ть,verb,,imp,to want,FALSE
91,на́до,prep,,,it is necessary; must,FALSE
92,голова́,noun,fem,,head,FALSE
93,без,prep,,,without,FALSE
94,ви́деть,verb,,imp,to see,FALSE
95,тепе́рь,adv,,,now; nowadays,FALSE
96,идти́,verb,,imp,to go (on foot),FALSE
97,друг,noun,masc,,friend,FALSE
98,сейча́с,adv,,,now; right now,FALSE
